threshold,TN,FP,FN,TP,precision,recall,f1,validation_projects,num_validation_tests,target_project,selected_threshold,selected_source_selection_top_k
0.7,1395,431,91,131,0.23309608540925267,0.5900900900900901,0.33418367346938777,"commons-exec,elastic-job-lite,hbase,hector,http-request,httpcore",2048,handlebars.java,0.3,6
0.75,1417,409,110,112,0.21497120921305182,0.5045045045045045,0.30148048452220727,"commons-exec,elastic-job-lite,hbase,hector,http-request,httpcore",2048,handlebars.java,0.3,6
0.8,1428,398,144,78,0.1638655462184874,0.35135135135135137,0.22349570200573066,"commons-exec,elastic-job-lite,hbase,hector,http-request,httpcore",2048,handlebars.java,0.3,6
0.85,1434,392,158,64,0.14035087719298245,0.2882882882882883,0.1887905604719764,"commons-exec,elastic-job-lite,hbase,hector,http-request,httpcore",2048,handlebars.java,0.3,6
0.9,1444,382,175,47,0.10955710955710955,0.21171171171171171,0.1443932411674347,"commons-exec,elastic-job-lite,hbase,hector,http-request,httpcore",2048,handlebars.java,0.3,6
0.3,1184,437,38,182,0.2940226171243942,0.8272727272727273,0.43384982121573307,"commons-exec,handlebars.java,hbase,hector,http-request,httpcore",1841,elastic-job-lite,0.35,6
0.35,1185,436,38,182,0.29449838187702265,0.8272727272727273,0.43436754176610975,"commons-exec,handlebars.java,hbase,hector,http-request,httpcore",1841,elastic-job-lite,0.35,6
0.4,1186,435,39,181,0.29383116883116883,0.8227272727272728,0.4330143540669857,"commons-exec,handlebars.java,hbase,hector,http-request,httpcore",1841,elastic-job-lite,0.35,6
0.45,1187,434,40,180,0.2931596091205212,0.8181818181818182,0.43165467625899284,"commons-exec,handlebars.java,hbase,hector,http-request,httpcore",1841,elastic-job-lite,0.35,6
0.5,1188,433,51,169,0.2807308970099668,0.7681818181818182,0.41119221411192214,"commons-exec,handlebars.java,hbase,hector,http-request,httpcore",1841,elastic-job-lite,0.35,6
0.55,1188,433,77,143,0.2482638888888889,0.65,0.35929648241206025,"commons-exec,handlebars.java,hbase,hector,http-request,httpcore",1841,elastic-job-lite,0.35,6
0.6,1189,432,101,119,0.2159709618874773,0.5409090909090909,0.30869001297016857,"commons-exec,handlebars.java,hbase,hector,http-request,httpcore",1841,elastic-job-lite,0.35,6
0.65,1190,431,106,114,0.20917431192660552,0.5181818181818182,0.2980392156862745,"commons-exec,handlebars.java,hbase,hector,http-request,httpcore",1841,elastic-job-lite,0.35,6
0.7,1200,421,129,91,0.177734375,0.41363636363636364,0.2486338797814208,"commons-exec,handlebars.java,hbase,hector,http-request,httpcore",1841,elastic-job-lite,0.35,6
